CODE,Snomed,Loinc,Name,UZ,RU,EN,
cancr0003.00022,,,,TDT (terminal deoksinukleotidil transferaza) Limfoid hujayralar rivojlanishining boshida ifodalangan oqsil,"TDT (Terminal deoxynucleotidyl transferase) Белок, экспрессируемый на ранних этапах развития лимфоидных клеток",TDT (Terminal deoxynucleotidyl transferase) A protein expressed early in the development of lymphoid cells,
cancr0003.00023,,,,l zanjirlari (Immunoglobulinlarning engil zanjirlari B hujayrali malign o'smalarda klonallikni aniqlash uchun ishlatiladi),"λ-цепи (Легкие цепи иммуноглобулинов, используемые для определения клональности в В-клеточных злокачественных новообразованиях)",λ chains (Immunoglobulin light chains used to determine clonality in B-cell malignancies),
cancr0003.00024,,,,k zanjirlari (Immunoglobulin engil zanjirlari B hujayrali malign o'smalarda klonallikni aniqlash uchun ishlatiladi),"κ-цепи (Легкие цепи иммуноглобулинов, используемые для определения клональности в В-клеточных злокачественных новообразованиях)",κ chains (Immunoglobulin light chains used to determine clonality in B-cell malignancies),
cancr0003.00025,,,,Siklin D1 Protein hujayra siklini tartibga solishda ishtirok etadi,"Cyclin D1 Белок, участвующий в регуляции клеточного цикла",Cyclin D1 Protein involved in cell cycle regulation,
cancr0003.00026,,33054-8,BCL2 Ag [Presence] in Tissue by Immune stain,Bcl-2 apoptozni inhibe qiluvchi proto-onkogen,"Bcl-2 Протоонкоген, ингибирующий апоптоз",Bcl-2 Proto-oncogene that inhibits apoptosis,
cancr0003.00027,,"	47009-6","	BCL6 Ag [Presence] in Tissue by Immune stain",Bcl-6 B hujayralarini tartibga solishda ishtirok etadigan transkripsiya omili,"Bcl-6 Транскрипционный фактор, участвующий в регуляции В-клеток",Bcl-6 Transcription factor involved in B-cell regulation,
cancr0003.00028,,,,MPO (Myeloperoksidaza): Granulotsitlarda ifodalangan ferment.,"MРО (Myeloperoxidase): Фермент, экспрессируемый в гранулоцитах.",MPO (Myeloperoxidase): An enzyme expressed in granulocytes.,
cancr0003.00029,,47017-9,"	CD68 Ag [Presence] in Tissue by Immune stain",CD68 Makrofaglarda ifodalangan oqsil,"CD68 Белок, экспрессируемый на макрофагах",CD68 A protein expressed on macrophages,
cancr0003.00030,,48679-5,Pancytokeratin Ag [Presence] in Tissue by Immune stain,Sitokeratin-Pan: marker barcha turdagi epiteliya hujayralarini aniqlash uchun ishlatiladi.,"ЦКР-ПАН (Cytokeratin-Pan): Маркер, используемый для идентификации всех типов эпителиальных клеток.",CKR-PAN (Cytokeratin-Pan): A marker used to identify all types of epithelial cells.,
cancr0003.00031,,10479-4,CD227 Ag [Presence] in Tissue by Immune stain,EMA (epitelial membrana antijeni): epiteliya o'smalarini aniqlash uchun ishlatiladigan marker.,"EMA (Epithelial Membrane Antigen): Маркер, используемый для идентификации эпителиальных опухолей.",EMA (Epithelial Membrane Antigen): A marker used to identify epithelial tumors.,
cancr0003.00032,,47010-4,Ber-EP4 Ag [Presence] in Tissue by Immune stain,"BER-EP-4 Antikor epiteliya hujayralarini aniqlashda, ayniqsa karsinomalarni tashxislashda ishlatiladi.","BER-EP-4 Антитело, используемое для идентификации эпителиальных клеток, особенно в диагностике карцином.","BER-EP-4 An antibody used to identify epithelial cells, especially in the diagnosis of carcinomas.",
cancr0003.00033,,40564-7,Thyroid transcription factor 1 Ag [Presence] in Tissue by Immune stain,TTF-1 (Tiroid transkripsiya faktor-1): Qalqonsimon bez va o'pka hujayralarida ifodalangan transkripsiya omili,"TTF-1 (Thyroid Transcription Factor-1): Транскрипционный фактор, экспрессируемый в клетках щитовидной железы и легких",TTF-1 (Thyroid Transcription Factor-1): A transcription factor expressed in thyroid and lung cells,
cancr0003.00034,,10484-4,Glial fibrillary acidic protein Ag [Presence] in Tissue by Immune stain,GFAP (Glial fibrilyar kislota oqsili): glial hujayralarda ifodalangan oqsil.,"GFAP (Glial Fibrillary Acidic Protein): Белок, экспрессируемый в глиальных клетках. ",GFAP (Glial Fibrillary Acidic Protein): A protein expressed in glial cells.,
cancr0003.00035,,32581-1,Epidermal growth factor receptor Ag [Presence] in Tissue by Immune stain,EGFR (HER-1) Epidermal o'sish omili retseptorlari,EGFR (HER-1) Рецептор эпидермального фактора роста,EGFR (HER-1) Epidermal growth factor receptor,
cancr0003.00036,,40559-7,Cytokeratin 7 Ag [Presence] in Tissue by Immune stain,Sitokeratin 7: adenokarsinoma va boshqa epiteliya o'smalarini tashxislash uchun ishlatiladigan marker.,"ЦКР 7 (Cytokeratin 7): Маркер, используемый для диагностики аденокарцином и других эпителиальных опухолей.",CKR 7 (Cytokeratin 7): A marker used to diagnose adenocarcinomas and other epithelial tumors.,
cancr0003.00037,,"	97158-0",Cytokeratin 8 Ag [Presence] in Tissue by Immune stain,Sitokeratin 8: Turli xil karsinomalarni tashxislash uchun ishlatiladigan marker.,"ЦКР 8 (Cytokeratin 8): Маркер, используемый для диагностики различных карцином.",Cytokeratin 8: A marker used to diagnose various carcinomas.,
cancr0003.00038,,"	50314-4",Cytokeratin 19 Ag [Presence] in Tissue by Immune stain,Sitokeratin 19: Marker metastatik karsinomalarni tashxislash uchun ishlatiladi.,"ЦКР 19 (Cytokeratin 19): Маркер, используемый для диагностики метастатических карцином.",Cytokeratin 19: A marker used to diagnose metastatic carcinomas.,
cancr0003.00039,,40558-9,Cytokeratin 20 Ag [Presence] in Tissue by Immune stain,Sitokeratin 20: Kolorektal va boshqa adenokarsinomalarni tashxislash uchun ishlatiladigan marker.,"ЦКР 20 (Cytokeratin 20): Маркер, используемый для диагностики колоректальных и других аденокарцином.",Cytokeratin 20: A marker used to diagnose colorectal and other adenocarcinomas.,
cancr0003.00040,,,,Sitokeratin-skuamoz: skuamoz hujayrali karsinomalarni tashxislash uchun marker.,ЦКР-плоск (Cytokeratin-squamous): Маркер для диагностики плоскоклеточных карцином.,Cytokeratin-squamous: A marker for diagnosing squamous cell carcinomas.,
cancr0003.00041,,40555-5,CD66e Ag [Presence] in Tissue by Immune stain,CEA (Carcinoembrionic Antigen): saraton kasalligini tashxislash va monitoring qilish uchun o'simta belgisi sifatida ishlatiladigan oqsil.,"РЭА (CEA, Carcinoembryonic Antigen): Белок, используемый как опухолевый маркер для диагностики и мониторинга рака.",CEA (Carcinoembryonic Antigen): A protein used as a tumor marker for diagnosing and monitoring cancer.,
cancr0003.00042,,"	10508-0",Prostate specific Ag [Presence] in Tissue by Immune stain,PSA (prostata o'ziga xos antigen): prostata saratoni tashxisi va monitoringi uchun marker sifatida ishlatiladigan protein.,"PSA (Prostate-Specific Antigen): Белок, используемый как маркер для диагностики и мониторинга рака предстательной железы.",PSA (Prostate-Specific Antigen): A protein used as a marker for diagnosing and monitoring prostate cancer.,
cancr0003.00043,,"	49457-5",Androgen receptor Ag [Presence] in Tissue by Immune stain,AR (Androgen retseptorlari): prostata saratoni tashxisi va tadqiqoti uchun ishlatiladigan androgen retseptorlari.,"AR (Androgen Receptor): Рецептор андрогенов, используемый для диагностики и исследования рака предстательной железы.",AR (Androgen Receptor): An androgen receptor used to diagnose and research prostate cancer.,
cancr0003.00044,,10519-7,Vimentin Ag [Presence] in Tissue by Immune stain,Vimentin Mezenxima hujayralarini aniqlash va sarkomalarni tashxislash uchun ishlatiladigan oraliq filament oqsili.,"Vimentin Белок промежуточных филаментов, используемый для идентификации мезенхимальных клеток и диагностики сарком.",Vimentin An intermediate filament protein used to identify mesenchymal cells and diagnose sarcomas.,
cancr0003.00045,,10476-0,Desmin Ag [Presence] in Tissue by Immune stain,Desmin Mushak hujayralarida ifodalangan oraliq filament oqsili.,"Desmin Белок промежуточных филаментов, экспрессируемый в мышечных клетках. ",Desmin An intermediate filament protein expressed in muscle cells.,
cancr0003.00046,,,,Pan-aktin: hujayralardagi aktin filamentlarini aniqlash uchun ishlatiladigan oqsil.,"Пан-актин (Pan-actin): Белок, используемый для идентификации актиновых филаментов в клетках.",Pan-actin: A protein used to identify actin filaments in cells.,
cancr0003.00047,,40562-1,Actin muscle specific Ag [Presence] in Tissue by Immune stain,a-aktin SM (a-Smooth Muscle Actin): silliq mushak o'smalarini tashxislash uchun ishlatiladigan silliq mushak hujayralari belgisi.,"α-актин SM (α-Smooth Muscle Actin): Маркер гладкомышечных клеток, используемый для диагностики гладкомышечных опухолей.",α-Smooth Muscle Actin: A smooth muscle cell marker used to diagnose smooth muscle tumors.,
cancr0003.00048,,"	29540-2","	E-cadherin Ag [Presence] in Tissue by Immune stain",E-kaderin: adenokarsinomalarni tashxislash uchun ishlatiladigan adezyon oqsili.,"Е-кадгерин (E-cadherin): Адгезионный белок, используемый для диагностики аденокарцином.",E-cadherin: An adhesion protein used to diagnose adenocarcinomas.,
cancr0003.00049,,,,P63 Transkripsiya omili skuamoz hujayrali karsinoma va boshqa o'smalarni tashxislashda qo'llaniladi.,"Р63 Транскрипционный фактор, используемый для диагностики плоскоклеточных карцином и других опухолей.",P63 A transcription factor used to diagnose squamous cell carcinomas and other tumors.,
cancr0003.00050,,10474-5,Collagen type 4 Ag [Presence] in Tissue by Immune stain,Kollagen IV Bazal membrana kasalliklarini tashxislash uchun ishlatiladigan protein.,"Collagen IV Белок, используемый для диагностики заболеваний базальной мембраны.",Collagen IV A protein used to diagnose basement membrane diseases.,
cancr0003.00051,,47034-4,Neurofilament Ag [Presence] in Tissue by Immune stain,NF (neyrofilament): neyronlarda ifodalangan oqsil. Neyron o'smalarini tashxislash uchun ishlatiladi.(,"NF (Neurofilament): Белок, экспрессируемый в нейронах. Используется для диагностики нейрональных опухолей.(",NF (Neurofilament): A protein expressed in neurons. Used to diagnose neuronal tumors.,
cancr0003.00052,,"	10505-6","	Myoglobin Ag [Presence] in Tissue by Immune stain",MBP (Myoglobin): Mushaklarning shikastlanishini tashxislash uchun ishlatiladigan protein.,"МВР (Myoglobin): Белок, используемый для диагностики повреждений мышц.",MBP (Myoglobin): A protein used to diagnose muscle damage.,
cancr0003.00053,,"	10477-8","	Enolase.neuron specific Ag [Presence] in Tissue by Immune stain",NSE (neyronga xos enolaza): neyroendokrin o'smalarini tashxislash uchun ishlatiladigan oqsil.,"NSE (Neuron-Specific Enolase): Белок, используемый для диагностики нейроэндокринных опухолей.",NSE (Neuron-Specific Enolase): A protein used to diagnose neuroendocrine tumors.,
cancr0003.00054,,10510-6,S-100 Ag [Presence] in Tissue by Immune stain,S100 Protein melanoma va boshqa o'smalarni tashxislash uchun ishlatiladi.,"S100 Белок, используемый для диагностики меланомы и других опухолей.",S100 A protein used to diagnose melanoma and other tumors.,
cancr0003.00055,,"	10487-7",HMB-45 Ag [Presence] in Tissue by Immune stain,HMB-45 antikori melanoma tashxisi uchun ishlatiladi.,"HMB-45 Антитело, используемое для диагностики меланомы.",HMB-45 An antibody used to diagnose melanoma.,
cancr0003.00056,,10462-0,"	Alpha 1 antitrypsin Ag [Presence] in Tissue by Immune stain",a-1-AChT (a-1-Antitripsin): Jigar va o'pka kasalliklarini tashxislash uchun ishlatiladigan oqsil.,"α-1-АХТ (α-1-Antitrypsin): Белок, используемый для диагностики заболеваний печени и легких.",α-1-Antitrypsin: A protein used to diagnose liver and lung disease.,
cancr0003.00057,,"	50319-3",HBME-1 Ag [Presence] in Tissue by Immune stain,NBME-1 antikori mezotelyoma tashxisi uchun ishlatiladi.,"НВМЕ-1 Антитело, используемое для диагностики мезотелиомы.",HBME-1 An antibody used to diagnose mesothelioma.,
cancr0003.00058,,"	10468-7",Calcitonin Ag [Presence] in Tissue by Immune stain,Kalsitonin: qalqonsimon bezning medullar saratonini tashxislash uchun ishlatiladigan gormon.,"Кальцитонин (Calcitonin): Гормон, используемый для диагностики медуллярного рака щитовидной железы.",Calcitonin: A hormone used to diagnose medullary thyroid cancer.,
cancr0003.00059,,"	10515-5",Thyroglobulin Ag [Presence] in Tissue by Immune stain,Tiroglobulin: qalqonsimon bez saratonini kuzatish uchun ishlatiladigan protein.,"Тиреоглобулин (Thyroglobulin): Белок, используемый для мониторинга рака щитовидной железы.",Thyroglobulin: A protein used to monitor thyroid cancer.,
cancr0003.00060,,10514-8,Synaptophysin Ag [Presence] in Tissue by Immune stain,Sinaptofizin: Neyroendokrin o'smalarni tashxislash uchun ishlatiladigan oqsil.,"Синаптофизин (Synaptophysin): Белок, используемый для диагностики нейроэндокринных опухолей.",Synaptophysin: A protein used to diagnose neuroendocrine tumors.,
cancr0003.00061,,10472-9,Chromogranin Ag [Presence] in Tissue by Immune stain,Xromogranin Neyroendokrin hujayralarda ifodalangan glikoprotein.,"Хромогранин (Chromogranin)Гликопротеин, экспрессируемый в нейроэндокринных клетках.",Chromogranin (Chromogranin) A glycoprotein expressed in neuroendocrine cells.,
cancr0003.00062,,"	10459-6",Alpha-1-Fetoprotein Ag [Presence] in Tissue by Immune stain,"AFP AFP, alfa-fetoprotein) Odatda homilaning jigari va sarig'i qopchasi tomonidan ishlab chiqariladigan oqsil.","АФП AFP, Alpha-Fetoprotein) Белок, который в норме вырабатывается печенью и желточным мешком плода",AFP (Alpha-Fetoprotein) A protein that is normally produced by the liver and yolk sac of the fetus,
cancr0003.00063,,"	10458-8",Alkaline phosphatase.placental Ag [Presence] in Tissue by Immune stain,PLAP (platsenta ishqoriy fosfataza) platsentada ifodalangan ferment,"PLAP(Placental Alkaline Phosphatase) Фермент, экспрессируемый в плаценте",PLAP (Placental Alkaline Phosphatase) An enzyme expressed in the placenta,
cancr0003.00064,,"	49482-3",Vascular endothelial growth factor Ag [Presence] in Tissue by Immune stain,VEGF (qon tomir endotelial o'sish omili) yangi qon tomirlarining o'sishini rag'batlantiradigan oqsil.,"VEGF(Vascular Endothelial Growth Factor) Белок, стимулирующий рост новых кровеносных сосудов",VEGF (Vascular Endothelial Growth Factor) A protein that stimulates the growth of new blood vessels,
cancr0003.00065,,,,VEGFR (qon tomir endotelial o'sish omili retseptorlari) angiogenezda ishtirok etadigan VEGF retseptorlari,"VEGFR (Vascular Endothelial Growth Factor Receptor) Рецептор для VEGF, участвующий в ангиогенезе",VEGFR (Vascular Endothelial Growth Factor Receptor) A receptor for VEGF involved in angiogenesis,
cancr0003.00066,,"	50318-5",Granzyme B Ag [Presence] in Tissue by Immune stain,Гранизм Б,Гранизм B,Granzyme B,
cancr0003.00067,,"	47303-3","	Anaplastic lymphoma kinase Ag [Presence] in Tissue by Immune stain",ALK (anaplastik limfoma kinaz) hujayra o'sishida ishtirok etadigan tirozin kinaz,"ALK (Anaplastic Lymphoma Kinase) Тирозинкиназа, участвующая в клеточном росте",ALK (Anaplastic Lymphoma Kinase) A tyrosine kinase involved in cell growth,
cancr0003.00068,,96270-4,Cyclin-dependent kinase 4 Ag [Presence] in Cancer specimen by Immune stain,p16 (Siklinga bog'liq kinaz inhibitori 2A) Hujayra bo'linish siklini inhibe qiluvchi oqsil,"р16 (Cyclin-Dependent Kinase Inhibitor 2A)Белок, ингибирующий цикл клеточного деления",p16 (Cyclin-Dependent Kinase Inhibitor 2A) A protein that inhibits the cell division cycle,
cancr0003.00069,,49556-4,p16INK4a Ag [Presence] in Tissue by Immune stain,Amacr Amacr (Alpha-Methylacyl-CoA Racemase) yog 'kislotalari almashinuvida ishtirok etadigan ferment,"Amacr Amacr (Alpha-Methylacyl-CoA Racemase)Фермент, участвующий в метаболизме жирных кислот",Amacr Amacr (Alpha-Methylacyl-CoA Racemase) An enzyme involved in the metabolism of fatty acids,
cancr0003.00070,,49457-5,Androgen receptor Ag [Presence] in Tissue by Immune stain,Androgen R (Androgen retseptorlari) Androgen retseptorlari erkaklarning jinsiy xususiyatlarini tartibga solishda ishtirok etadilar.,"Androgen R (Androgen Receptor) Рецептор андрогенов, участвующий в регуляции мужских половых характеристик",Androgen R (Androgen Receptor) Androgen receptor involved in the regulation of male sexual characteristics,
cancr0003.00071,,"	49458-3",Annexin 1 Ag [Presence] in Tissue by Immune stain,Annexin A1 Yallig'lanish jarayonlarida va apoptozni tartibga solishda ishtirok etadigan oqsil.,"Annexin A1 Белок, участвующий в воспалительных процессах и регуляции апоптоза.",Annexin A1 Protein involved in inflammatory processes and the regulation of apoptosis.,
cancr0003.00072,,107219-8,Arginase Ag [Presence] in Tissue by Immune stain,Arginaza-1 fermenti arginin almashinuvida ishtirok etadi,"Arginase-1 Фермент, участвующий в метаболизме аргинина",Arginase-1 Enzyme involved in the metabolism of arginine,
cancr0003.00073,,"	50314-4",Cytokeratin 19 Ag [Presence] in Tissue by Immune stain,cyfra 21-1,cyfra 21-1,cyfra 21-1,
cancr0003.00074,,"	48677-9",Cancer Ag 125 [Presence] in Tissue by Immune stain,CA125,CA125,CA125,
cancr0003.00075,,2009-9,Cancer Ag 19-9 [Presence] in Serum or Plasma,CA19-9,CA19-9,CA19-9,
cancr0003.00076,,"	2007-3",Cancer Ag 15-3 [Presence] in Serum or Plasma,CA15-3,CA15-3,CA15-3,
cancr0003.00077,,,,HE 4,HE 4,HE 4,
cancr0003.00078,,,,PAX 3,PAX 3,PAX 3,
cancr0003.00079,,40559-7,Cytokeratin 7 Ag [Presence] in Tissue by Immune stain,CK7,CK7,CK7,
Метод исследования,,,,,,,
cancr0004.00001,1303773004,,Fluorescence in situ hybridization technique (qualifier value),FISH,FISH,FISH,
cancr0004.00002,1304162005,,Nucleic acid sequencing technique (qualifier value),Ketma-ketlik,Секвенирование,Sequencing,
cancr0004.00003,702675006,,Probe with target amplification technique (qualifier value),PCR,ПЦР,PCR,
cancr0004.00004,1306297003,,Conventional metaphase karyotyping technique (qualifier value),Karyotiplash,Кариотипирование,Karyotyping,
cancr0004.00005,,,,Fraksiya tahlili,Фрагентный анализ,Fragment analysis,
cancr0004.00006,261665006,,Unknown (qualifier value),Noma'lum,Неизвестно,Unknown,
Маркеры,,,,,,,
cancr0005.00001,,,,"ABCB11 ATP-bog'lovchi kassetali B sub-familiyasi a'zosi 11) Protein, jigarda o't kislotalarini tashuvchisi","ABCB11 ATP-Binding Cassette Sub-Family B Member 11) Белок, транспортер желчных кислот в печени","ABCB11 ATP-Binding Cassette Sub-Family B Member 11) Protein, bile acid transporter in the liver",
cancr0005.00002,,,,ABRAXAS1 (FAM175A) DNKni tiklashda ishtirok etadigan oqsil.,"ABRAXAS1 (FAM175A) Белок, участвующий в репарации ДНК.",ABRAXAS1 (FAM175A) Protein involved in DNA repair.,
cancr0005.00003,,,,ACD (adrenokortikal displazi homologi) telomerni saqlashda ishtirok etadigan oqsil,"ACD (Adrenocortical Dysplasia Homolog) Белок, участвующий в поддержании теломер",ACD (Adrenocortical Dysplasia Homolog) Protein involved in telomere maintenance,
cancr0005.00004,,,,AIP (Aril uglevodorod retseptorlari bilan o'zaro ta'sir qiluvchi protein) aril uglevodorod retseptorlari funktsiyalarini tartibga soluvchi oqsil,"AIP (Aryl Hydrocarbon Receptor Interacting Protein) Белок, регулирующий функции арилуглеводородного рецептора",AIP (Aryl Hydrocarbon Receptor Interacting Protein) Protein that regulates the functions of the aryl hydrocarbon receptor,
cancr0005.00005,,,,AKT1 (AKT Serin/Treonin Kinaz 1) Kinaz hujayra o'sishi va omon qolishini tartibga soluvchi signal yo'llarida ishtirok etadi,"AKT1 (AKT Serine/Threonine Kinase 1) Киназа, участвующая в сигнальных путях, регулирующих клеточный рост и выживание",AKT1 (AKT Serine/Threonine Kinase 1) Kinase involved in signaling pathways regulating cell growth and survival,
cancr0005.00006,,,,ALK (anaplastik limfoma kinaz) hujayra o'sishida ishtirok etadigan tirozin kinaz,"ALK (Anaplastic Lymphoma Kinase) Тирозинкиназа, участвующая в клеточном росте",ALK (Anaplastic Lymphoma Kinase) Tyrosine kinase involved in cell growth,
cancr0005.00007,,,,"ANKRD26 (Ankyrin Repeat Domain 26) Noma'lum aniq funktsiyaga ega protein, ammo mutatsiyalar trombotsitopeniya va miyeloid neoplaziyaning irsiy shakllari bilan bog'liq.","ANKRD26 (Ankyrin Repeat Domain 26) Белок с неизвестной точной функцией, но мутации связаны с наследственными формами тромбоцитопении и миелоидными неоплазиями.","ANKRD26 (Ankyrin Repeat Domain 26) A protein of unknown precise function, but mutations are associated with inherited forms of thrombocytopenia and myeloid neoplasia.",
cancr0005.00008,,,,APC (Adenomatous Polyposis Coli) Hujayra siklini tartibga solishda ishtirok etadigan o'simta bostiruvchi oqsil.,"APC (Adenomatous Polyposis Coli) Белок-супрессор опухолей, участвующий в регуляции клеточного цикла.",APC (Adenomatous Polyposis Coli) A tumor suppressor protein involved in cell cycle regulation.,
cancr0005.00009,,,,AR (Androgen retseptorlari) Androgen retseptorlari erkaklarning jinsiy xususiyatlarini tartibga solishda ishtirok etadilar,"AR (Androgen Receptor) Рецептор андрогенов, участвующий в регуляции мужских половых характеристик",AR (Androgen Receptor) Androgen receptor involved in regulating male sexual characteristics,
cancr0005.00010,,,,ASCC1 (Faollashtiruvchi Signal Kointegrator 1 Kompleks Subunit 1) Transkripsiya va DNK ta'mirlashni tartibga solishda ishtirok etadigan oqsil,"ASCC1 (Activating Signal Cointegrator 1 Complex Subunit 1) Белок, участвующий в регуляции транскрипции и репарации ДНК",ASCC1 (Activating Signal Cointegrator 1 Complex Subunit 1) Protein involved in regulating transcription and DNA repair,
cancr0005.00011,,,,ASXL1 (1 kabi qo'shimcha jinsiy taroq) Transkripsiyani tartibga solishda ishtirok etadigan oqsil,"ASXL1 (Additional Sex Combs Like 1) Белок, участвующий в регуляции транскрипции",ASXL1 (Additional Sex Combs Like 1) Protein involved in regulating transcription,
cancr0005.00012,,,,ATM (ataksiya telangiektaziyasi mutatsiyaga uchragan) oqsil DNKni tiklash va hujayra siklini tartibga solishda muhim rol o'ynaydi.,"ATM (Ataxia Telangiectasia Mutated) Белок, играющий ключевую роль в репарации ДНК и регуляции клеточного цикла",ATM (Ataxia Telangiectasia Mutated) Protein that plays a key role in DNA repair and cell cycle regulation,
